Province,Listprice,date added,locality,postal_code,year_built,taxes,basement,Lot_size,Beds,Baths,Area,MonthyrAdded,PricePerSqft,Age 
Quebec,969000,16-May-18,Montreal,H2Y 1Z5,2018,,,,2,2,1343,May-18,721.5189873,0
Quebec,399900,28-Nov-18,Montreal,H9J 1J1,2005,"4,398 CAD (2018)",,,3,2,780.8249027,Nov-18,512.1506737,13
Quebec,239900,28-Nov-18,Gatineau,J8P7A7,1978,,Full (Finished) Six Feet And Over,0.137 Ac,3,2,1015,Nov-18,236.3546798,40
Quebec,494500,27-Nov-18,Val-des-Monts,J8N5B2,2001,,"Full (Finished) Six Feet And Over, Separate Entrance",2.636 Ac,4,2,3000,Nov-18,164.8333333,17
Quebec,298450,29-Nov-18,Montreal,H1W3T6,1910,,,0.024 Ac,2,1,3156,Nov-18,94.56590621,108
Quebec,219000,28-Nov-18,Montreal,H3V1B4,1957,,,,1,1,571,Nov-18,383.5376532,61
Quebec,173900,27-Nov-18,Gatineau,J9A3E4,2003,,,0.049 Ac,3,1,1003,Nov-18,173.3798604,15
Quebec,201319,30-Nov-18,Montreal,J6S 0C1,2019,,Full,0.13 Ac,3,1,5679,Nov-18,35.44972706,-1
Quebec,249000,30-Nov-18,Mansfield-et-Pontefract,J0X1R0,1984,,Full Six Feet And Over,73.934 Ac,3,1,1350,Nov-18,184.4444444,34
Quebec,779000,29-Nov-18,Montreal,H3B 3A7,2018,,,,2,2,1055,Nov-18,738.3886256,0
Quebec,186900,27-Nov-18,Gatineau,J8T5H8,1972,,Full (Finished),0.094 Ac,3,1,1289,Nov-18,144.996121,46
Quebec,2664000,27-Nov-18,Montreal,H2J 3L8,1959,"20,963 CAD (2018)",,0.049 Ac,,,7428,Nov-18,358.6429725,59
Quebec,2664000,27-Nov-18,Montreal,H2J 3L8,1959,"20,948 CAD (2018)",,0.049 Ac,,,7428,Nov-18,358.6429725,59
Quebec,1990000,07-Mar-18,Beaconsfield,,1989,,Full,0.269 Ac,6,5,780.8249027,Mar-18,2548.586749,29
Quebec,925000,10-May-18,Montreal,H3B0G3,2017,,,,2,2,989,May-18,935.2881699,1
Quebec,1025000,05-Jun-18,Beaconsfield,H9W4W1,1946,"6,106 CAD (2017)",Full,0.551 Ac,5,4,780.8249027,Jun-18,1312.71428,72
Quebec,247800,11-Apr-18,Gatineau,J9A 3W1,2018,"3,404 CAD (2018)",,,2,1,780.8249027,Apr-18,317.3566815,0
Quebec,1345000,05-Jun-18,Baie-D'Urfe,H9X 3H4,1963,"4,700 CAD (2017)",Full,0.406 Ac,5,3,780.8249027,Jun-18,1722.537275,55
Quebec,799000,14-May-18,Montreal,H2Y 1M6,2016,,,,2,2,1000,May-18,799,2
Quebec,294900,11-May-18,Chertsey,J0K3K0,1960,"1,600 CAD (2018)",,,3,2,1500,May-18,196.6,58
Quebec,575000,23-Jun-18,L'Ile-aux-Coudres,G0A 1X0,2007,,"Part Over 6 Ft High (Storage, Workshop & Cold-Storage)",1.007 Ac,4,3,780.8249027,Jun-18,736.4006937,11
Quebec,1299000,10-Jul-18,Baie-D'Urfe,H9X 1P9,2018,,,,4,2,780.8249027,Jul-18,1663.625219,0
Quebec,899000,27-Jul-18,Montreal,H3C2M8,2010,,,,2,2,1384,Jul-18,649.566474,8
Quebec,319000,24-Sep-18,Montreal,H9J1Z8,1964,"3,087 CAD (2018)",Full,,4,1,780.8249027,Sep-18,408.5422979,54
Quebec,249000,28-Nov-18,Gatineau,J8L3A8,1982,,,0.185 Ac,3,1,1600,Nov-18,155.625,36
Quebec,1725000,29-Nov-18,Westmount,H3Z2H3,1905,,,,5,2,780.8249027,Nov-18,2209.202081,113
Quebec,568800,29-Nov-18,Montreal,H8T2A9,1963,,Full (Finished) Six Feet And Over,0.08 Ac,3,1,780.8249027,Nov-18,728.4603731,55
Quebec,237900,27-Nov-18,Gatineau,J9J3Y5,2005,,Full (Finished) Six Feet And Over,0.079 Ac,3,1,928,Nov-18,256.3577586,13
Quebec,319000,29-Nov-18,Montreal,H1V2N5,1910,,,0.002 Ac,1,1,780.8249027,Nov-18,408.5422979,108
Quebec,339900,30-Nov-18,La Peche,J0X 1A0,2018,,Walkout,0.836 Ac,3,2,3000,Nov-18,113.3,0
Quebec,400000,30-Nov-18,Dorval,H9S2B8,2013,,,,2,1,948,Nov-18,421.9409283,5
Quebec,239900,29-Nov-18,Gatineau,J8L3Y3,1993,,,0.215 Ac,2,1,1680,Nov-18,142.797619,25
Quebec,216000,27-Nov-18,Gatineau,J9H6B5,1991,"2,620 CAD (2018)",Full,0.113 Ac,3,2,920,Nov-18,234.7826087,27
Quebec,479900,30-Nov-18,Gatineau,J8T5M3,1974,,,0.301 Ac,4,3,2211,Nov-18,217.0511081,44
Quebec,552000,29-Nov-18,Montreal,H2S 3G1,2018,,,,2,2,1237,Nov-18,446.2409054,0
Quebec,129900,30-Nov-18,L'Ange-Gardien,J8L2W9,1966,,"Full (Finished) Six Feet And Over, Separate Entrance",0.189 Ac,3,2,880,Nov-18,147.6136364,52
Quebec,585000,29-Nov-18,Montreal,H3G1W3,2013,,,,2,1,835,Nov-18,700.5988024,5
Quebec,190000,28-Nov-18,Chateauguay,J6K2E3,1959,,,0.124 Ac,4,2,780.8249027,Nov-18,243.3324031,59
Quebec,1332000,27-Nov-18,Montreal,H2J 3L8,1959,"10,483 CAD (2018)",,,,,3714,Nov-18,358.6429725,59
Quebec,1332000,27-Nov-18,Montreal,H2J 3L8,1959,"10,480 CAD (2018)",,"2,150 Ac",,,3714,Nov-18,358.6429725,59
Quebec,169000,29-Nov-18,Montreal,H8Z2Z6,1970,,,,2,1,969,Nov-18,174.4066047,48
Quebec,1332000,27-Nov-18,Montreal,H2J 3L8,1959,"10,468 CAD (2018)",,0.049 Ac,,,3714,Nov-18,358.6429725,59
Quebec,249900,27-Nov-18,Litchfield,J0X1K0,2006,,None,3.788 Ac,2,1,768,Nov-18,325.390625,12
Quebec,184900,27-Nov-18,Val-des-Monts,J8N1M8,1950,,Full Less Than Six Feet.,0.456 Ac,3,1,954,Nov-18,193.8155136,68
Quebec,438000,27-Nov-18,Gatineau (Gatineau),J8V0G4,2010,,,0.24 Ac,3,2,2000,Nov-18,219,8
Quebec,2664000,27-Nov-18,Montreal,H2J 3L8,1959,"20,951 CAD (2018)",,0.049 Ac,,,7428,Nov-18,358.6429725,59
Ontario,349900,22-Nov-18,Brooke - Alvinston,NON 1A0,1977,,Walkout,1.9 Ac,3,2,2880,Nov-18,121.4930556,41
Ontario,764900,30-Nov-18,Toronto,M2N0K3,2020,0 CAD (2018),,,2,2,781,Nov-18,979.3854033,-2
Ontario,499000,03-Nov-18,Bluewater,N0M2R0,1973,,Walkout,0.47 Ac,3,2,1978,Nov-18,252.2750253,45
Ontario,184900,04-Oct-18,Chatham - Kent,N7M 4H9,1951,"1,528.09 CAD (2018)",Full Unfinished,,3,1,1270,Oct-18,145.5905512,67
Ontario,1225000,10-Nov-18,Wasaga Beach,ON L9Z 2K6,2000,,Full,0.252 Ac,7,5,2800,Nov-18,437.5,18
Ontario,850000,03-Oct-18,Mississauga,L5G 0A3,2018,"4,146 CAD (2013)",,,2,2,1097,Oct-18,774.840474,0
Ontario,449000,30-Oct-18,Vaughan,L4J0E1,2018,"2,224.41 CAD (2018)",,,1,1,780.8249027,Oct-18,575.0328895,0
Ontario,978000,25-Sep-18,Lincoln,L0R 1S0,2018,,Unfinished,0.046 Ac,4,1,780.8249027,Sep-18,1252.521528,0
Ontario,372900,15-Nov-18,Perth,K7H 3L9,1996,,Full Fully Finished,0.174 Ac,4,2,780.8249027,Nov-18,477.5718586,22
Ontario,175000,03-Aug-18,Laurentian Valley,K8A 6P8,2018,"2,156 CAD (2017)",Full Partly Finished,0.169 Ac,3,1,780.8249027,Aug-18,224.1219502,0
Ontario,479990,02-Oct-18,Toronto,M3C1A4,2018,,,,3,2,780.8249027,Oct-18,614.7216851,0
Ontario,400000,25-Sep-18,Kitchener,N2A 4E1,2018,,,,1,2,780.8249027,Sep-18,512.2787434,0
Ontario,499900,28-Jun-18,Ottawa,K1G 1Y1,1958,,Full,0.123 Ac,4,2,780.8249027,Jun-18,640.2203596,60
Ontario,380000,26-Sep-18,Kitchener,N2A 4E1,2018,,,,2,2,780.8249027,Sep-18,486.6648063,0
Ontario,459999,15-Oct-18,Mississauga,L5B0G8,2018,,,,2,2,780.8249027,Oct-18,589.1192742,0
Ontario,399800,19-Nov-18,Ramara,L0K 1B0,2018,,,,,,780.8249027,Nov-18,512.0226041,0
Ontario,1089900,10-Oct-18,Waterloo,N2T 2Z4,2013,"7,016.26 CAD (2018)",Full,0.165 Ac,4,3,3100,Oct-18,351.5806452,5
Ontario,1599900,21-Sep-18,Oakville,L6M5B4,2018,"7,225 CAD (2018)",Full Fully Finished Basement With Nanny Suite,0.129 Ac,5,5,5023,Sep-18,318.5148318,0
Ontario,304900,01-Jun-18,Treadwell,K0B1L0,1977,,Walkout,0.485 Ac,3,2,780.8249027,Jun-18,390.4844722,41
Ontario,499000,03-Oct-18,Pickering,L1X 2S3,2018,,,,3,2,780.8249027,Oct-18,639.0677324,0
Ontario,459000,02-Apr-17,Tay,L0K 1R0,2018,"2,427.21 CAD (2016)",,0.215 Ac,,,780.8249027,Apr-17,587.8398581,0
Ontario,354900,13-Aug-18,Toronto,M6M1A2,2018,,,,1,1,407,Aug-18,871.990172,0
Ontario,529000,01-Sep-18,Prince Edward,K0K 2T0,1930,,Full,0.684 Ac,5,2,2700,Sep-18,195.9259259,88
Ontario,169999,13-Jun-18,Prince Edward,K0K 2T0,2018,367 CAD (2018),,8.3 Ac,,,780.8249027,Jun-18,217.7171853,0
Ontario,1250000,18-Aug-18,Niagara-on-the-Lake,L0S 1J0,2018,"6,067 CAD (2018)",Part,0.5 Ac,4,2,3300,Aug-18,378.7878788,0
Ontario,599900,16-Apr-18,Burlington,L7L0C4,2018,"2,915.76 CAD (2017)",,,2,2,1515,Apr-18,395.9735974,0
Ontario,739880,11-May-18,Ottawa,K1L 7T5,2018,,,0.044 Ac,3,3,780.8249027,May-18,947.5619917,0
Ontario,549900,28-May-18,Ottawa,K2C 1A9,1960,,Full,0.121 Ac,3,2,780.8249027,May-18,704.2552025,58
