province,REF_DATE,uom_houseindex,scalar_houseindex,avg_house_only,avg_land_only,avg_totalhouseland,uom_income,scalar_income,statistic_income,avg_income,uom_expenditure,scalar_expenditure,statistic_expenditure,avg_food_expenditures,avg_income_taxes,avg_mortageinsurance,avg_mortagePaid,avg_accomodation,avg_rent,avg_shelter,avg_total_expenditure,avg_taxes_landregfees,uom_tourist,scalar_tourist,avg_international_tourism,avg_domestic_tourism,uom_labourforce,scalar_labourforce,statistic_labourforce,avg_employment,avg_fulltime,avg_labourforce,avg_parttime,avg_population,avg_unemployment,uom_lfperc,scalar_lfperc,statistic_labourforceperc,avg_employment_rate,avg_participationrate,avg_unemploymentrate,uom_crime,scalar_crime,statistic_crime,avg_crime_incidents
Alberta,1985-05,"Index, 201612=100",units,27.200000000000003,21.7,25.65,,,,,,,,,,,,,,,,,Persons,unit,61105.0,107761.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",730.6500244140625,610.5833129882812,810.6166381835938,120.03333282470703,1093.1500244140625,80.0,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",62.41666793823242,69.44999694824219,9.883333206176758,,,,
Alberta,1985-09,"Index, 201612=100",units,27.85,22.45,26.299999999999997,,,,,,,,,,,,,,,,,Persons,unit,63646.0,117078.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",741.0833129882812,615.5833129882812,813.6500244140625,125.48332977294922,1096.199951171875,72.58333587646484,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",62.93333435058594,69.38333129882812,9.133333206176758,,,,
Alberta,1985-02,"Index, 201612=100",units,27.15,21.6,25.549999999999997,,,,,,,,,,,,,,,,,Persons,unit,71883.0,97480.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",723.433349609375,600.9000244140625,808.2333374023438,122.48332977294922,1090.13330078125,84.80000305175781,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",62.03333282470703,69.56666564941406,10.583333015441895,,,,
Alberta,1985-07,"Index, 201612=100",units,27.35,21.9,25.8,,,,,,,,,,,,,,,,,Persons,unit,93203.0,224806.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",733.6166381835938,610.8666381835938,807.7000122070312,122.75,1093.7833251953125,74.0999984741211,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",62.56666564941406,69.16666412353516,9.399999618530273,,,,
Alberta,1985-12,"Index, 201612=100",units,28.349999999999998,22.5,26.65,,,,,,,,,,,,,,,,,Persons,unit,49730.0,81473.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",744.9000244140625,624.7666625976562,816.683349609375,120.13333129882812,1101.7332763671875,71.78333282470703,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",63.016666412353516,69.41666412353516,9.050000190734863,,,,
Alberta,1985-04,"Index, 201612=100",units,27.049999999999997,21.7,25.5,,,,,,,,,,,,,,,,,Persons,unit,83595.0,117042.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",729.4666748046875,607.75,810.433349609375,121.69999694824219,1092.3499755859375,80.98332977294922,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",62.45000076293945,69.6500015258789,10.25,,,,
Alberta,1985-03,"Index, 201612=100",units,27.049999999999997,21.7,25.5,,,,,,,,,,,,,,,,,Persons,unit,84594.0,118062.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",723.683349609375,603.4500122070312,806.3666381835938,120.23332977294922,1091.2833251953125,82.69999694824219,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",61.983333587646484,69.38333129882812,10.466666221618652,,,,
Alberta,1985-10,"Index, 201612=100",units,28.200000000000003,22.5,26.5,,,,,,,,,,,,,,,,,Persons,unit,52953.0,86878.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",741.2000122070312,622.0,815.433349609375,119.23332977294922,1097.9832763671875,74.19999694824219,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",62.900001525878906,69.48332977294922,9.333333015441895,,,,
Alberta,1985-11,"Index, 201612=100",units,28.299999999999997,22.5,26.6,,,,,,,,,,,,,,,,,Persons,unit,44630.0,69144.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",739.5833129882812,621.9666748046875,815.5166625976562,117.63333129882812,1100.050048828125,75.94999694824219,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",62.58333206176758,69.33333587646484,9.483333587646484,,,,
Alberta,1985-01,"Index, 201612=100",units,27.450000000000003,21.5,25.799999999999997,,,,,,,,,,,,,,,,,Persons,unit,78894.0,104934.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",730.316650390625,602.8833618164062,811.25,127.4000015258789,1089.050048828125,80.94999694824219,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",62.78333282470703,69.8499984741211,9.816666603088379,,,,
